tagId,tagName,parentTagId,parentTagName
1,Industry,0,NULL
2,Discipline,0,NULL
3,Language,0,NULL
4,Qualifications,0,NULL
5,Permissions,0,NULL
6,skills,0,NULL
7,Computer Skills,0,NULL
8,workSegment,0,NULL
9,Reserved,0,NULL
10,Reserved,0,NULL
11,Project management,NULL,NULL
12,business establishment,NULL,NULL
13,liaison,NULL,NULL
14,Drafting,NULL,NULL
15,Drafting,6,skills
16,Unit management,6,skills
17,Business Development,6,skills
18,Strategic Planning,6,skills
19,Client advocacy,6,skills
20,PMBOK,6,skills
21,Project Office setup,6,skills
22,Engineering,1,Industry
23,Civil Engineering,22,Engineering
24,Building Engineering,22,Engineering
25,Consulting,1,Industry
26,Management,1,Industry
27,Design,1,Industry
28,Teaching,1,Industry
29,Industry,NULL,NULL
30,Busses,NULL,NULL
31,Japanese,3,Language
32,German,3,Language
33,Software Development,NULL,NULL
34,CPR,4,Qualifications
35,Testing,2,Discipline
36,test,2,Discipline
37,,2,Discipline
38,Mechanical Equipment Design,2,Discipline
39,Master of Engineering,4,Qualifications
40,oil &gas,17,Business Development
41,Project Engineer,40,oil &gas
42, biogas,17,Business Development
43, power,17,Business Development
44, process,17,Business Development
45,petrochemical,17,Business Development
46, chemical,17,Business Development
47,Fabricator,1,Industry
48,#NAME?,1,Industry
49, Seawater Desalination Project ,1,Industry
50,Manufacturing,NULL,NULL
51,Fabrication,1,Industry
52,quality control,NULL,NULL
53,"Project Management, Supervision, Quality Control and Inspection ",2,Discipline
54,"•	Executive Master in Business Project Management",4,Qualifications
55,"•	Diploma in Banking Studies",4,Qualifications
56,Civil and Construction ,1,Industry
57,Oil and Gas Division ,1,Industry
58,"C/C++, Python, Java HTML, CSS ",7,Computer Skills
59,Bachelor of Science degree in Computer Science,4,Qualifications
60,Nandos,1,Industry
61,University,1,Industry
62,Bulk Materials Handling Equipment (Iron Ore),NULL,NULL
63,leadership,NULL,NULL
64,‘Mechanical Project Engineer,2,Discipline
65,Bachelor of Engineering ,4,Qualifications
66,Diploma of Project Management ,4,Qualifications
67,Mining,1,Industry
68,commissioning,6,skills
69,Electrical,2,Discipline
70,Bachelor of Science in Electrical and Electronic Engineering ,4,Qualifications
71,Process,2,Discipline
72,Mechanical,2,Discipline
73,Power,72,Mechanical
74,Process ,73,Power
75,Mining metal,72,Mechanical
76, Water treatment,72,Mechanical
77,processing plant,67,Mining
78,dewatering systems and mobile equipment,67,Mining
79,Oil& gas,72,Mechanical
80,Control & Instrumentation,2,Discipline
81,greenfield & brownfield,80,Control & Instrumentation
82,design and execution of greenfield and brownfield projects in the fields of PCN cybersecurity,81,greenfield & brownfield
83,instrumentation,81,greenfield & brownfield
84,control and communication systems,81,greenfield & brownfield
85,functional safety and project management,81,greenfield & brownfield
86,oil & gas,80,Control & Instrumentation
87, mining,80,Control & Instrumentation
88,rail,80,Control & Instrumentation
89,materials,80,Control & Instrumentation
90,prefeasibility,86,oil & gas
91,feasibility,86,oil & gas
92,option study,86,oil & gas
93,concept design,86,oil & gas
94,front end engineering,86,oil & gas
95,detail engineering,86,oil & gas
96,pre-commissioning,86,oil & gas
97,fertilizer,71,Process
98,chemical,71,Process
99,  mineral,71,Process
100,Admin & Accounts,2,Discipline
101,Doc Control,2,Discipline
102,worked in curtin guild,101,Doc Control
103,communication,102,worked in curtin guild
104,computer,102,worked in curtin guild
105,Graduate,71,Process
106,TBD,11,Project management
107,Supervision,11,Project management
108,Quality Control and Inspection,11,Project management
109,Safety,2,Discipline
110,Design and Drafting,2,Discipline
111,Chemical and Process Engineer,11,Project management
112,Not suitable,111,Chemical and Process Engineer
113,doesnot have enough relevant experience,111,Chemical and Process Engineer
114,BTech Chemical,41,Project Engineer
115,Melbourne based,41,Project Engineer
116,expensive,41,Project Engineer
117,Chemical Engineering,86,oil & gas
118,Junior PE,86,oil & gas
119,Oil,72,Mechanical
120, power generation,72,Mechanical
121,Oil and Gas (offshore/onshore),98,chemical
122,Conceptual/Feasibility studies,121,Oil and Gas (offshore/onshore)
123,FEED,121,Oil and Gas (offshore/onshore)
124,EPC,121,Oil and Gas (offshore/onshore)
125,Installation,121,Oil and Gas (offshore/onshore)
